path,text,num_frames,height,width,aspect_ratio,resolution,sample,split,mask_strategy
/data/pisa/training_data/psft/00000,a video of an object dropping,32,256,256,1.0,65536,00000,train,0
/data/pisa/training_data/psft/00001,a video of an object dropping,32,256,256,1.0,65536,00001,train,0
/data/pisa/training_data/psft/00002,a video of an object dropping,32,256,256,1.0,65536,00002,train,0
/data/pisa/training_data/psft/00003,a video of an object dropping,32,256,256,1.0,65536,00003,train,0
/data/pisa/training_data/psft/00004,a video of an object dropping,32,256,256,1.0,65536,00004,train,0
/data/pisa/training_data/psft/00005,a video of an object dropping,32,256,256,1.0,65536,00005,train,0
/data/pisa/training_data/psft/00006,a video of an object dropping,32,256,256,1.0,65536,00006,train,0
/data/pisa/training_data/psft/00007,a video of an object dropping,32,256,256,1.0,65536,00007,train,0
/data/pisa/training_data/psft/00008,a video of an object dropping,32,256,256,1.0,65536,00008,train,0
/data/pisa/training_data/psft/00009,a video of an object dropping,32,256,256,1.0,65536,00009,train,0
/data/pisa/training_data/psft/00010,a video of an object dropping,32,256,256,1.0,65536,00010,train,0
/data/pisa/training_data/psft/00011,a video of an object dropping,32,256,256,1.0,65536,00011,train,0
/data/pisa/training_data/psft/00012,a video of an object dropping,32,256,256,1.0,65536,00012,train,0
/data/pisa/training_data/psft/00013,a video of an object dropping,32,256,256,1.0,65536,00013,train,0
/data/pisa/training_data/psft/00014,a video of an object dropping,32,256,256,1.0,65536,00014,train,0
/data/pisa/training_data/psft/00015,a video of an object dropping,32,256,256,1.0,65536,00015,train,0
/data/pisa/training_data/psft/00016,a video of an object dropping,32,256,256,1.0,65536,00016,train,0
/data/pisa/training_data/psft/00017,a video of an object dropping,32,256,256,1.0,65536,00017,train,0
/data/pisa/training_data/psft/00018,a video of an object dropping,32,256,256,1.0,65536,00018,train,0
/data/pisa/training_data/psft/00019,a video of an object dropping,32,256,256,1.0,65536,00019,train,0
/data/pisa/training_data/psft/00020,a video of an object dropping,32,256,256,1.0,65536,00020,train,0
/data/pisa/training_data/psft/00021,a video of an object dropping,32,256,256,1.0,65536,00021,train,0
/data/pisa/training_data/psft/00022,a video of an object dropping,32,256,256,1.0,65536,00022,train,0
/data/pisa/training_data/psft/00023,a video of an object dropping,32,256,256,1.0,65536,00023,train,0
/data/pisa/training_data/psft/00024,a video of an object dropping,32,256,256,1.0,65536,00024,train,0
/data/pisa/training_data/psft/00025,a video of an object dropping,32,256,256,1.0,65536,00025,train,0
/data/pisa/training_data/psft/00026,a video of an object dropping,32,256,256,1.0,65536,00026,train,0
/data/pisa/training_data/psft/00027,a video of an object dropping,32,256,256,1.0,65536,00027,train,0
/data/pisa/training_data/psft/00028,a video of an object dropping,32,256,256,1.0,65536,00028,train,0
/data/pisa/training_data/psft/00029,a video of an object dropping,32,256,256,1.0,65536,00029,train,0
/data/pisa/training_data/psft/00030,a video of an object dropping,32,256,256,1.0,65536,00030,train,0
/data/pisa/training_data/psft/00031,a video of an object dropping,32,256,256,1.0,65536,00031,train,0
/data/pisa/training_data/psft/00032,a video of an object dropping,32,256,256,1.0,65536,00032,train,0
/data/pisa/training_data/psft/00033,a video of an object dropping,32,256,256,1.0,65536,00033,train,0
/data/pisa/training_data/psft/00034,a video of an object dropping,32,256,256,1.0,65536,00034,train,0
/data/pisa/training_data/psft/00035,a video of an object dropping,32,256,256,1.0,65536,00035,train,0
/data/pisa/training_data/psft/00036,a video of an object dropping,32,256,256,1.0,65536,00036,train,0
/data/pisa/training_data/psft/00037,a video of an object dropping,32,256,256,1.0,65536,00037,train,0
/data/pisa/training_data/psft/00038,a video of an object dropping,32,256,256,1.0,65536,00038,train,0
/data/pisa/training_data/psft/00039,a video of an object dropping,32,256,256,1.0,65536,00039,train,0
/data/pisa/training_data/psft/00040,a video of an object dropping,32,256,256,1.0,65536,00040,train,0
/data/pisa/training_data/psft/00041,a video of an object dropping,32,256,256,1.0,65536,00041,train,0
/data/pisa/training_data/psft/00042,a video of an object dropping,32,256,256,1.0,65536,00042,train,0
/data/pisa/training_data/psft/00043,a video of an object dropping,32,256,256,1.0,65536,00043,train,0
/data/pisa/training_data/psft/00044,a video of an object dropping,32,256,256,1.0,65536,00044,train,0
/data/pisa/training_data/psft/00045,a video of an object dropping,32,256,256,1.0,65536,00045,train,0
/data/pisa/training_data/psft/00046,a video of an object dropping,32,256,256,1.0,65536,00046,train,0
/data/pisa/training_data/psft/00047,a video of an object dropping,32,256,256,1.0,65536,00047,train,0
/data/pisa/training_data/psft/00048,a video of an object dropping,32,256,256,1.0,65536,00048,train,0
/data/pisa/training_data/psft/00049,a video of an object dropping,32,256,256,1.0,65536,00049,train,0
/data/pisa/training_data/psft/00050,a video of an object dropping,32,256,256,1.0,65536,00050,train,0
/data/pisa/training_data/psft/00051,a video of an object dropping,32,256,256,1.0,65536,00051,train,0
/data/pisa/training_data/psft/00052,a video of an object dropping,32,256,256,1.0,65536,00052,train,0
/data/pisa/training_data/psft/00053,a video of an object dropping,32,256,256,1.0,65536,00053,train,0
/data/pisa/training_data/psft/00054,a video of an object dropping,32,256,256,1.0,65536,00054,train,0
/data/pisa/training_data/psft/00055,a video of an object dropping,32,256,256,1.0,65536,00055,train,0
/data/pisa/training_data/psft/00056,a video of an object dropping,32,256,256,1.0,65536,00056,train,0
/data/pisa/training_data/psft/00057,a video of an object dropping,32,256,256,1.0,65536,00057,train,0
/data/pisa/training_data/psft/00058,a video of an object dropping,32,256,256,1.0,65536,00058,train,0
/data/pisa/training_data/psft/00059,a video of an object dropping,32,256,256,1.0,65536,00059,train,0
/data/pisa/training_data/psft/00060,a video of an object dropping,32,256,256,1.0,65536,00060,train,0
/data/pisa/training_data/psft/00061,a video of an object dropping,32,256,256,1.0,65536,00061,train,0
/data/pisa/training_data/psft/00062,a video of an object dropping,32,256,256,1.0,65536,00062,train,0
/data/pisa/training_data/psft/00063,a video of an object dropping,32,256,256,1.0,65536,00063,train,0
/data/pisa/training_data/psft/00064,a video of an object dropping,32,256,256,1.0,65536,00064,train,0
/data/pisa/training_data/psft/00065,a video of an object dropping,32,256,256,1.0,65536,00065,train,0
/data/pisa/training_data/psft/00066,a video of an object dropping,32,256,256,1.0,65536,00066,train,0
/data/pisa/training_data/psft/00067,a video of an object dropping,32,256,256,1.0,65536,00067,train,0
/data/pisa/training_data/psft/00068,a video of an object dropping,32,256,256,1.0,65536,00068,train,0
/data/pisa/training_data/psft/00069,a video of an object dropping,32,256,256,1.0,65536,00069,train,0
/data/pisa/training_data/psft/00070,a video of an object dropping,32,256,256,1.0,65536,00070,train,0
/data/pisa/training_data/psft/00071,a video of an object dropping,32,256,256,1.0,65536,00071,train,0
/data/pisa/training_data/psft/00072,a video of an object dropping,32,256,256,1.0,65536,00072,train,0
